T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
159369, 111, -637, -364, 400820, -935200, -248150
159389, -20, -468, -212, 462630, -906290, -199920
159409, -75, -300, -243, 420910, -914970, -207200
159429, -82, -215, -276, 286860, -943250, -252770
159449, -88, -96, -201, 183540, -935760, -280840
159469, -74, -115, -227, 134820, -900900, -281330
159489, -59, -95, -219, 105210, -872970, -251440
159509, -59, -74, -187, 108290, -838180, -213430
159529, -52, -82, -186, 130410, -806890, -170800
159549, -36, -84, -179, 164150, -782180, -122920
159569, -25, -74, -156, 208320, -742210, -88970
159589, -7, -74, -147, 246960, -683130, -76790
159609, -10, -86, -122, 269360, -610890, -80010
159629, -28, -117, -93, 278390, -526540, -93030
159649, -55, -220, -129, 259140, -446110, -123200
159669, -111, -263, 7, 219100, -374710, -177240
159689, -153, -299, 228, 158480, -309190, -269220
159709, 57, -1743, 48, 8050, -263830, -624190
159729, 1996, -1998, -1997, -451430, -31780, -998550
159749, 138, -1998, 1660, 976640, 713020, -211540
159769, -400, -1268, -614, 87430, -507990, 912030
159789, -48, -716, -516, -432390, -743470, 448700
159809, -2, -330, -207, -250460, -434910, 25200
159829, 32, -137, -55, -135030, -259980, -168560
159849, 39, -203, -112, -80990, -190330, -215110
159869, 58, -156, -90, -57330, -158410, -198240
159889, 71, -72, -52, -33320, -102620, -185220
159909, 76, -41, -46, -7350, -60410, -127400
159929, 60, -55, -53, 17920, -33600, -33180
159949, 47, -84, -53, 29120, 16100, 34930
159969, 0, -199, -107, 19110, 94920, 57400
159989, -42, -366, -124, 1050, 199360, 19110
160009, -112, -854, -186, -26810, 313950, -87430
160029, 631, -1998, -1085, -90440, 451430, -291130
160049, 1996, -1998, -1043, -164150, 685720, -691390
160069, -61, -1673, -200, 70350, 554400, -18130
160089, -174, -992, -431, -25550, 28910, 1091300
160109, -105, -808, -606, -318640, 4060, 753480
160129, -124, -528, -346, -319480, 216160, 271180
160149, -143, -420, -321, -80150, 484540, -97090
160169, -135, -192, -175, 137900, 662970, -309050
160189, -49, -8, 86, 288890, 750540, -386540
160209, 34, 19, 277, 317380, 727440, -328790
160229, 101, 11, 292, 157360, 593530, -170100
160249, 156, -116, 3, -160160, 393890, 11270
160269, 200, -309, -165, -492520, 193340, 189280
160289, 265, -968, -440, -680400, 73920, 363160
160309, 1627, -1998, -1997, -758170, -18830, 527380
160329, 643, -1998, -172, -696500, 44520, 460810
160349, 610, -973, 510, 45780, 852040, -286930
160369, 654, -665, -535, 165620, 906290, -430850
160389, 226, -307, -211, -463050, 279300, -132930
160409, 18, -225, -110, -447510, 168910, 218820
160429, -65, -198, -108, -254590, 219450, 513660
160449, -93, -279, -172, -292810, 246610, 451850
160469, -79, -430, -329, -289660, 309750, 322770
160489, -129, -573, -403, -186620, 435890, 137480
160509, -198, -718, -536, -8750, 610820, -94990
160529, -63, -601, -437, 244510, 814450, -339360
160549, 456, -409, 422, 474880, 902020, -427980
160569, 763, -1126, 1189, 373450, 590030, -93940
160589, 831, -1998, -1997, -474110, -435190, 570290
160609, 133, -1998, -518, -446110, -750050, 776930
160629, 117, -896, -34, 139510, 25830, -206150
160649, 221, -313, 122, 76230, 200620, -687400
160669, 369, -129, -16, -63560, 99960, -675150
160689, 428, -220, -252, -144900, -68250, -382690
160709, 275, -342, -253, -31150, -169610, 29400
160729, 187, -378, -230, 201250, -161770, 353150
160749, 91, -439, -111, 393820, -72660, 474530
160769, 18, -457, 115, 464660, 37380, 444080
160789, -134, -507, 549, 342020, 90160, 318640
160809, 92, -758, -27, -71540, -30240, 148470
160829, 570, -1477, -1118, -651770, -283150, -47180
160849, 539, -1507, -982, -824740, -288260, -211190
160869, 442, -1045, -265, -291550, 157080, -348810
160889, 293, -741, 299, 248220, 488740, -331100
160909, 304, -518, -38, 249760, 389760, -177870
160929, 224, -309, -123, -85820, 93660, -69650
160949, 81, -170, -25, -195230, -25410, 54740
160969, 9, -122, -9, -139720, -53760, 203350
160989, -21, -119, -30, -110110, -98980, 309190
161009, -32, -98, -20, -85610, -132720, 363720
161029, -36, -89, -20, -50680, -138600, 370090
161049, -22, -64, -8, -13300, -131460, 351680
161069, -19, -41, 12, 22190, -118090, 323330
161089, -17, -39, 13, 47880, -102410, 298550
161109, -25, -54, 21, 52500, -90090, 280420
161129, -46, -214, -58, 39970, -79870, 238770
161149, -441, -1226, -150, -15680, -14490, 136500
161169, -201, -686, 109, -131250, 173950, -319550
