T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6292, -1998, -1998, -1997, -391300, -1298010, 850220
6312, -1998, -1998, -1997, 126140, -1645630, 536760
6332, -1998, -1998, -1997, 326550, -1915340, -46270
6352, -1998, -1998, -1997, 406420, -1751540, -646800
6372, -1998, -1998, -1997, 363020, -1249640, -1034810
6392, -1998, -1998, -1997, 230020, -742280, -1181670
6412, -1998, -1998, -1997, 69160, -461790, -1220870
6432, -1998, -1998, -1997, -154420, -325010, -1261120
6452, -1998, -1998, -1997, -339500, -203700, -1206520
6472, -1998, -1998, -1997, -434420, 34370, -1135680
6492, -1998, -1998, -1997, -450030, 231070, -1029980
6512, -1998, -1998, -1997, -410760, 402500, -993440
6532, -1998, -1998, -1997, -315280, 561120, -950460
6552, -1998, -1998, -1997, -132930, 719810, -983850
6572, -1998, -1998, -1997, 115430, 840280, -953820
6592, -1998, -1998, -1997, 434210, 906010, -983570
6612, -1998, -1998, -1997, 788130, 906220, -856590
6632, -1998, -1998, -1997, 1226190, 1050070, -640780
6652, -1998, -1998, -1997, 1643390, 1232560, -52150
6672, -1998, -1998, -1997, 1705480, 1260840, 631610
6692, -1998, -1998, -1997, 1254610, 1156750, 1181320
6712, -1998, -1998, -1997, 692160, 1254750, 1422260
6732, -1998, -1998, -1997, 156100, 1535030, 1312640
6752, -1998, -1998, -1997, -142240, 1944110, 964250
6772, -1998, -1998, -1997, -36890, 2272900, 307440
6792, -1998, -1998, -1997, 461720, 2293480, -368130
6812, -1998, -1998, -1997, 1269380, 2270170, -510510
6832, -1998, -1998, -1997, 1935920, 2179590, 84770
6852, -1998, -1998, -1997, 1874460, 2025100, 1002470
6872, -1998, -1998, -1997, 1104460, 1984710, 1506330
6892, -1998, -1998, -1997, 362180, 2219140, 1379000
6912, -1998, -1998, -1997, 100240, 2293480, 682780
6932, -1998, -1998, -1997, 463330, 2293480, -162470
6952, -1998, -1998, -1997, 1180550, 2290750, -456470
6972, -1998, -1998, -1997, 1830290, 2188970, -30380
6992, -1998, -1998, -1997, 1875300, 1953560, 830550
7012, -1998, -1998, -1997, 473760, 1876280, 1366890
7032, -1998, -1998, -1997, 26040, 2112530, 917140
7052, -1998, -1998, -1997, 18130, 2271360, 294420
7072, -1998, -1998, -1997, 316190, 2172870, -373310
7092, -1998, -1998, -1997, 788900, 1859830, -506240
7112, -1998, -1998, -1997, 1326990, 1567860, -447370
7132, -1998, -1998, -1997, 1536710, 1406860, 75460
7152, -1998, -1998, -1997, 1443960, 1136800, 593110
7172, -1998, -1998, -1997, 1062320, 813400, 853650
7192, -1998, -1998, -1997, 606200, 546350, 1013880
7212, -1998, -1998, -1997, 332220, 378350, 934920
7232, -1998, -1998, -1997, 66640, 194320, 938630
7252, -1998, -1998, -1997, -119560, -93030, 828240
7272, -1998, -1998, -1997, -193690, -465360, 725410
7292, -1998, -1998, -1997, -187180, -780990, 666540
7312, -1998, -1998, -1997, -92050, -1052520, 511000
7332, -1998, -1998, -1997, 21490, -1381590, 254730
7352, -1998, -1998, -1997, 56350, -1596910, -100310
7372, -1998, -1998, -1997, 48300, -1599710, -534240
7392, -1998, -1998, -1997, -94220, -1424220, -817530
7412, -1998, -1998, -1997, -352590, -1260140, -1017100
7432, -1998, -1998, -1926, -770350, -1198890, -966700
7452, -1998, -1998, -1997, -1074010, -1162910, -800590
7472, -1998, -1998, -1997, -1265040, -1198890, -395010
7492, -1998, -1998, -1997, -1221080, -1222480, -14560
7512, -1998, -1998, -1997, -1005130, -1346310, 300860
7532, -1998, -1998, -1997, -732410, -1572690, 346290
7552, -1998, -1998, -1997, -397880, -1857030, 223650
7572, -1998, -1998, -1997, -222670, -1932140, -168770
7592, -1998, -1998, -1997, -160720, -1846040, -609210
7612, -1998, -1998, -1910, -320600, -1572060, -891100
7632, -1998, -1998, -1797, -574560, -1374520, -983080
7652, -1998, -1998, -1747, -916370, -1238790, -819070
7672, -1998, -1998, -1804, -1095570, -1139530, -561400
7692, -1998, -1998, -1754, -1127350, -1095150, -204400
7712, -1998, -1998, -1690, -752500, -1105510, 265790
7732, -1998, -1998, -1764, -571550, -1169980, 348950
7752, -1998, -1998, -1854, -360360, -1231160, 244300
7772, -1998, -1998, -1802, -153930, -1270570, 87570
7792, -1998, -1998, -1743, -59640, -1229970, -90580
7812, -1998, -1998, -1540, 34650, -1142540, -267540
7832, -1998, -1998, -1380, 64960, -974890, -399910
7852, -1998, -1998, -1275, 12880, -731220, -475790
7872, -1996, -1998, -1085, 11340, -534590, -503300
7892, -1830, -1998, -887, 19810, -378070, -485520
7912, -1707, -1998, -791, 21770, -234430, -503650
7932, -1646, -1998, -781, -3710, -99330, -510230
7952, -1815, -1998, -876, -7630, -3990, -435050
7972, -1863, -1998, -918, 22680, 93800, -369390
7992, -1956, -1998, -997, 98420, 209230, -388850
8012, -1998, -1998, -1076, 184100, 329070, -396760
8032, -1998, -1998, -1162, 254030, 454090, -367290
8052, -1998, -1998, -1309, 369040, 554960, -326200
8072, -1998, -1998, -1632, 491750, 655830, -239050
8092, -1998, -1998, -1656, 645750, 765240, -127890
8112, -1998, -1998, -1551, 849030, 873040, -31780
8132, -1998, -1998, -1460, 941360, 993090, 151760
8152, -1998, -1998, -1553, 938420, 1053850, 406560
8172, -1998, -1998, -1502, 825370, 1121050, 590800
8192, -1998, -1998, -1494, 681870, 1212330, 705390
8212, -1998, -1998, -1623, 491680, 1352260, 826420
8232, -1998, -1998, -1666, 372610, 1503670, 755090
8252, -1998, -1998, -1715, 363300, 1688960, 477820
8272, -1998, -1998, -1959, 409080, 1849610, 222250
8292, -1998, -1998, -1965, 562800, 1894830, 35210
8312, -1998, -1998, -1956, 878500, 1847580, -74060
8332, -1998, -1998, -1932, 1122030, 1818950, 28980
8352, -1998, -1998, -1673, 1202250, 1805580, 346430
8372, -1998, -1998, -1513, 1149260, 1757700, 672420
8392, -1998, -1998, -1473, 957110, 1748390, 867930
8412, -1998, -1998, -1441, 671090, 1864240, 890190
8432, -1998, -1998, -1413, 608020, 1941660, 475090
8452, -1998, -1998, -1499, 801430, 1894970, 216230
8472, -1998, -1882, -1597, 955080, 1888600, 80990
8492, -1953, -1405, -1525, 1089270, 1866340, 135590
8512, -1686, -933, -1274, 1157660, 1817690, 354900
8532, -1579, -654, -1117, 1097530, 1760290, 637140
8552, -1537, -550, -1011, 919450, 1721720, 837270
8572, -1440, -426, -918, 759570, 1712130, 866320
8592, -1362, -281, -824, 683340, 1704150, 782880
8612, -1233, -179, -737, 640920, 1692880, 662550
8632, -1139, -190, -754, 649180, 1634850, 546210
8652, -1041, -133, -805, 738150, 1520120, 458220
8672, -934, 2, -789, 905030, 1390690, 387310
8692, -804, 117, -817, 1088500, 1273790, 356650
8712, -734, 244, -723, 1203230, 1216390, 374360
8732, -758, 261, -643, 1196580, 1238720, 437920
8752, -863, 39, -642, 1045660, 1317820, 514360
8772, -898, -146, -602, 870100, 1368920, 559720
8792, -878, -332, -538, 794990, 1341550, 548590
8812, -1043, -765, -541, 784210, 1268680, 539490
8832, -1564, -1815, -748, 711270, 1233820, 545930
8852, -1998, -1998, -1008, 569030, 1263710, 476140
8872, -1369, -1872, -665, 472850, 1304800, 289100
8892, -1244, -1539, -649, 548310, 1218980, 120470
8912, -1300, -1566, -712, 515550, 1162980, 101710
8932, -1251, -1609, -694, 473130, 1158080, 26670
8952, -1429, -1998, -787, 596610, 1075130, -101850
8972, -1247, -1998, -724, 611100, 1061340, -166250
8992, -1081, -1998, -584, 542360, 1069670, -140630
9012, -1113, -1888, -553, 536060, 883890, 141190
9032, -1227, -1998, -637, 488950, 681170, 417900
9052, -1112, -1998, -559, 499590, 520030, 441070
9072, -926, -1998, -382, 656880, 358470, 225680
9092, -1054, -1998, -457, 649390, 314370, 17430
9112, -978, -1998, -392, 381920, 344540, 58590
9132, -948, -1975, -394, 89880, 142310, 338170
9152, -918, -1894, -375, 66710, 31990, 313600
9172, -484, -1998, -386, 150500, -119910, 219730
9192, 762, -1998, -1584, 305200, -402710, 515970
9212, -1941, -1998, -1997, 575960, -289310, 1326850
9232, -37, -1029, -285, 330680, 1435700, 221340
9252, -1358, -356, -1594, 359940, 2264290, 87500
9272, -1518, 56, -1142, -161560, 2276050, 1009190
9292, -1822, -116, -1389, 177940, 1890420, 1429540
9312, -1662, -407, -454, 422730, 1586270, 1439760
9332, -527, -46, -507, 691040, 1245790, 986020
9352, -1080, -762, -774, 1045730, 771120, 803250
9372, -1482, -1019, -957, 1105860, 849940, 651280
9392, -936, 70, -611, 890260, 1287860, 208250
9412, -765, 68, -497, 758940, 1597400, -95480
9432, -721, 175, -511, 698670, 1582140, -48020
9452, -397, 239, -62, 736050, 1446760, 90790
9472, -410, -84, -295, 774480, 1186430, 282870
9492, -859, -759, -385, 613060, 960190, 538650
9512, -821, -1094, -419, 451570, 919170, 640920
9532, -1070, -1774, -499, 465780, 771330, 590660
9552, -657, -1038, -74, 589960, 532560, 591360
9572, -1120, -1797, -411, 418180, 522130, 548660
9592, -967, -1998, -369, -135310, 745920, 505050
9612, -1150, -1998, -408, -270900, 671790, 384510
9632, -622, -1242, -128, -40040, 329490, 371980
9652, -499, -950, -162, 84140, 127820, 268660
9672, -470, -919, -156, -132930, 207480, 158200
9692, -640, -1231, -200, -205030, 179270, 88270
9712, -546, -1192, -216, -199150, 85190, 42350
9732, -327, -754, -64, -119840, -49420, -29330
9752, -293, -543, -90, -45010, -196840, -18410
9772, -242, -374, -75, -170870, -218120, 44170
9792, -234, -301, -79, -267260, -236530, 82950
9812, -252, -302, -101, -290430, -284760, 91840
9832, -365, -519, -145, -309610, -322980, 79520
9852, -778, -955, -306, -263760, -390810, -51240
9872, -922, -1244, -407, -170940, -426090, -316120
9892, -473, -824, -162, -60970, -501550, -578900
9912, -265, -741, -121, -218190, -491120, -562380
9932, -463, -876, -299, -353360, -582820, -245840
9952, -486, -706, -301, -362250, -710570, 36330
9972, -676, -944, -339, -291270, -783860, 151620
9992, -648, -1177, -228, -297500, -705460, 95690
10012, -1326, -1998, -720, -675500, -245210, -177380
10032, -992, -1998, -642, -717500, -109900, -372750
10052, -585, -1322, -194, -250740, -543830, -233800
10072, -580, -829, -189, -157080, -830620, 117180
10092, -759, -846, -353, -480130, -770000, 354690
10112, -996, -1109, -511, -627550, -742560, 463330
10132, -797, -921, -477, -493990, -796740, 345520
